darija,eng,darija_ar
weekend,weekend,ويكند
lweekend,weekend,لويكند
yanayir,january,يانايير
yanayr,january,ياناير
fibrayr,february,فيبراير
fibrayer,february,فيبراير
mars,march,مارس
abril,april,أبريل
avril,april,أڤريل
may,may,ماي
yonyo,june,يونيو
yolyoz,july,يوليوز
youlyouz,july,يوليوز
ghocht,august,غوشت
chotanbir,september,شوتانبير
oktoubr,october,أُكتوبر
oktobr,october,أُكتوبر
nowanbir,november,نووانبير
dojanbir,december,دوجانبير
doujanbir,december,دوجانبير
w9t,time,وقت
wa9t,time,واقت
we9t,time,وقت
7aDir,present,حاضير
7aDer,present,حاضر
7aDr,present,حاضر
most9bal,future,موستقبال
mosta9bal,future,موستاقبال
mostaqbal,future,موستاقبال
mostqbal,future,موستقبال
maDi,past,ماضي
maaDi,past,ماضي
llarob,quarter to,اللاروب
llaroub,quarter to,اللاروب
o9sem,five past,أُقسم
oqsem,five past,أُقسم
o9smayn,ten past,أُقسماين
oqsmayn,ten past,أُقسماين
orb3,quarter past,أُربع
orba3,quarter past,أُرباع
oness,half past,أُنسّ
onss,half past,أُنسّ
onass,half past,أُناسّ
osb39sam,thirty five past,أُسبعقسام
9ll9smayn,ten to,قلّقسماين
9ll9sm,five to,قلّقسم
mn,since,من
men,since,من
lil,night,ليل
llil,night,الليل
lile,night,ليل
Sba7,morning,صباح
Sbah,morning,صباه
3chia,evening,عشيا
aachia,evening,اشيا
wstnhar,midday,وستنهار
ftra,period,فترا
fatra,period,فاترا
fetra,period,فترا
magana,clock,ماڭانا
sa3a,clock,ساعا
monasaba,occasion,موناسابا
mounasaba,occasion,موناسابا
monaasaba,occasion,موناسابا
nssa3a,half an hour,نسّاعا
nessa3a,half an hour,نسّاعا
robo3sa3a,quarter of an hour,روبوعساعا
tolotsa3a,twenty minutes,تولوتساعا
toloutsa3a,twenty minutes,تولوتساعا
t3nfij,inconvenience,تعنفيج
t3anfij,inconvenience,تعانفيج
t3enfij,inconvenience,تعنفيج
tbrziT,bother,تبرزيط
tberziT,bother,تبرزيط
tbarziT,bother,تبارزيط
ttbrziT,bother,التبرزيط
twichia,thing,تويشيا
l3iba,thing,لعيبا
l3ayba,thing,لعايبا
l3aiba,thing,لعايبا
l3amala,friend,لعامالا
tbl7is,flattery,تبلحيس
tbel7is,flattery,تبلحيس
tbal7is,flattery,تبالحيس
tbal7iss,flattery,تبالحيسّ
Tnz,mockery,طنز
Tanz,mockery,طانز
Tenz,mockery,طنز
z3fan,angry,زعفان
za3fan,angry,زاعفان
ze3fan,angry,زعفان
ka3i,angry,كاعي
l8imri,hunger,لهيمري
lhimri,hunger,لهيمري
m9rach,tea kettle,مقراش
m9raj,tea kettle,مقراج
mo9rach,tea kettle,موقراش
mo9raj,tea kettle,موقراج
3zzi,black,عزّي
3azzi,black,عازّي
3ezzi,black,عزّي
b7alma8okdaya,like this,بحالماهوكدايا
b7almahokdaya,like this,بحالماهوكدايا
kifmab7almahokdaya,like this,كيفمابحالماهوكدايا
kifmab7alma8okdaya,like this,كيفمابحالماهوكدايا
Tbbouzi,fat,طبّوزي
Tbozi,fat,طبوزي
Tabozi,fat,طابوزي
Tebbozi,fat,طبّوزي
tkhrbi9,nonsense,تخربيق
tkharbi9,nonsense,تخاربيق
tkherbi9,nonsense,تخربيق
tkharbiq,nonsense,تخاربيق
3zwa,man,عزوا
3zawi,man,عزاوي
kbchlaba9ich,fill my cup,كبشلاباقيش
kobchlaba9ich,fill my cup,كوبشلاباقيش
kobbchlabaqich,fill my cup,كوبّشلاباقيش
kobbchlaba9ich,fill my cup,كوبّشلاباقيش
law3lm,i do not know,لاوعلم
llaw3lm,i do not know,اللاوعلم
laho3lm,i do not know,لاهوعلم
lahoa3lam,i do not know,لاهواعلام
brbbi,i swear,بربّي
brebbi,i swear,بربّي
brabbi,i swear,برابّي
awdi,whatever,أودي
awddi,whatever,أودّي
awdi,anyway,أودي
awddi,anyway,أودّي
bz9oul,child,بزقول
bz9ol,child,بزقول
bez9ol,child,بزقول
baz9ol,child,بازقول
chwikkik,a bit,شويكّيك
chwia,a bit,شويا
T8lla,bye,طهلّا
Thalla,bye,طهالّا
T8alla,bye,طهالّا
T8ella,bye,طهلّا
3rram,many,عرّام
3erram,many,عرّام
3arram,many,عارّام
ewa,well,إوا
fchkl,special,فشكل
fchkel,special,فشكل
fchkal,special,فشكال
fchkeel,special,فشكيل
fchkl,peculiar,فشكل
fchkel,peculiar,فشكل
fchkal,peculiar,فشكال
fchkeel,peculiar,فشكيل
gharib,weird,غاريب
sghikkrin,tiny,سغيكّرين
tfrnisa,smile,تفرنيسا
tfernisa,smile,تفرنيسا
tfarnisa,smile,تفارنيسا
bz9oul,baby,بزقول
bz9ol,baby,بزقول
br8och,kid,برهوش
bar8ouch,kid,بارهوش
barhouch,kid,بارهوش
barhoch,kid,بارهوش
tbznisa,deal,تبزنيسا
tbeznisa,deal,تبزنيسا
tbaznisa,deal,تبازنيسا
t8jaj,noise,تهجاج
ta8jaj,noise,تاهجاج
tahjaj,noise,تاهجاج
9oz9oza7,rainbow,قوزقوزاح
9ous9oza7,rainbow,قوسقوزاح
9aws9oza7,rainbow,قاوسقوزاح
3zwa,well done,عزوا
Saa7a,well done,صاحا
m3elem,great job,معلم
wa3r,great job,واعر
mwrre9,noticeable,مورّق
mwerre9,noticeable,مورّق
3wachr,feasts,عواشر
3wacher,feasts,عواشر
naDi,excellent,ناضي
naaDi,excellent,ناضي
8nnina,be quiet,هنّينا
8ennina,be quiet,هنّينا
8annina,be quiet,هانّينا
ml3ouba,feasible,ملعوبا
ml3oba,feasible,ملعوبا
n7ila,swift,نحيلا
hrebt,blow my mind,هربت
lherba,blow my mind,لهربا
hrrbni,blow my mind,هرّبني
jb8a,bold,جبها
jab8a,bold,جابها
jeb8a,bold,جبها
jbha,bold,جبها
snTi7a,bold,سنطيحا
senTi7a,bold,سنطيحا
SnTi7a,bold,صنطيحا
mrigl,tricky,مريڭل
blan,a good deal,بلان
blaan,a good deal,بلان
wakwakk,oh god,واكواكّ
wakwak,oh god,واكواك
makat9chcherch,,ماكاتقشّرش
makat9cherch,,ماكاتقشرش
makat9echerch,,ماكاتقشرش
makat9echcharch,,ماكاتقشّارش
a7,oh,أح
jlakha,bad guy,جلاخا
jla5a,bad guy,جلاخا
tl9na,harry up,تلقنا
tle9na,harry up,تلقنا
tla9na,harry up,تلاقنا
serbina,harry up,سربينا
serbi,harry up,سربي
sarbina,harry up,ساربينا
ahya,oh,أهيا
sat,homie,سات
l3chir,homie,لعشير
3chiri,homie,عشيري
sda3,distubance,سداع
khwadri,brother,خوادري
khawa,brother,خاوا
5wadri,brother,خوادري
5awa,brother,خاوا
khwadria,sister,خوادريا
5wadria,sister,خوادريا
thela,see you,تهلا
thella,see you,تهلّا
t8ala,see you,تهالا
thala,see you,تهالا
lays3dSSaba7,good morning,لايسعدصّاباح
lays3dssaba7,good morning,لايسعدسّاباح
lays3dlmasa,good night,لايسعدلماسا
TTali3a,taunt,الطاليعا
bghina...,we would like to have...,بغينا...
mafhmtch,i don't understand,مافهمتش
man3ref,i don't know,مانعرف
fhamt,i get it,فهامت
bch7al?,how much will it be?,بشحال?
hna,it's that way,هنا
w9af!,stop!,وقاف!
kanb5ik,i love you,كانبخيك
bse7a,cheers!,بسحا
inchaallah,i hope so too,إنشالّاه
b'slama,goodbye,ب'سلاما
"la,5raj",he's out,"لا,خراج"
twadart,i'm lost,توادارت
ghele9t,i ate a lot,غلقت
mat7chmch,don't be shy,ماتحشمش
anrsmk,i will draw a portrait of you,أنرسمك
ant7ewel,i'm moving out,أنتحول
9t3,cross...,قتع
kan3zek,i appreciate you,كانعزك
katlhemni,you inspire me,كاتلهمني
kan3ch9ek,i adore you,كانعشقك
kantfehem,i quite understand,كانتفهم
mat3taderch,don't apologize,ماتعتادرش
mat3esebch,don't be nervous!,ماتعسبش
kaychwiw,they're cooking a barbecue,كايشويو
kised9at,how did it turn out?,كيسدقات
