darija_ar,eng,p1_transl,eng_p1_transl,p2_transl,eng_p2_transl,p3_transl,eng_p3_transl
ستوعب,accommodate,Understand,Understand,understand,understand,understand,understand
شطح,dance,Daydream,Daydream,daydream,daydream,daydream,daydream
فاق,wake,Wake,Wake,wake,wake,wake up,wake up
صلّا,pray,Pray,Pray,pray,pray,pray,pray
دوّر,telephone,Search,Search,search,search,search,search
ماركا,score,Laugh,Mark,shop,play,mark,play
زلق,slip,Slip,slip,slip,slip,slip,slip
رتاكب,commit,Commit,ride,ride,ride,ride,ride
كشف,detect,Reveal,reveal,reveal,reveal,reveal,reveal
ستبعد,exclude,Remove,remove,leave,remove,remove,remove
عدر,excuse,Apologize,apologize,apologize,return,apologize,apologize
فسّر,interpret,Explain,interpret,to drink,explain,interpret,interpret
نشر,publish,Publish,publish,publish,publish,publish,publish
لاقا,link,Find,find,find,find,find,meet
تفاوض,negotiate,Negotiate,negotiate,negotiate,negotiate,negotiate,negotiate
حلّل,analyze,Solve,Analyze,analyze,analyze,analyze,analyze
سمّا,name,Listen,Hear,listen,listen,name,call
متدّ,stretch,Laugh,Stand,sit,wait,fall,wait
تقلّق,upset,Worry,worry,worry,worry,worry,worry
أهّل,qualify,Prepare,Prepare,prepare,prepare,prepare,prepare
خسّر,damage,Lose,lose,lose,lose,lose,lose
طلق,launch,Divorce,Divorce,divorce,divorce,fire,shoot
صبغ,paint,Dye,dye,dye,dye,dye,dye
حدّد,specify,Choose,determine,choose,determine,define,determine
منح,grant,Give,give,give,give,grant,grant
سلّف,lend,Lend,Lend,lend,lend,lend,lend
بنا,construct,Build,build,build,build,build,build
تفاعل,react,React,Interact,interact,interact,interact,interact
ستاحق,deserve,Deserve,Deserve,deserve,deserve,deserve,deserve
ستاهل,deserve,Deserve,Deserve,deserve,deserve,deserve,deserve
ترأس,head,Preside,to preside,lead,lead,preside,preside
وجّه,direct,Direct,direct,direct,direct,direct,direct
هبط,land,Descend,descend,land,land,land,land
قاد,conduct,Drive,drive,drive,drive,drive,drive
تكبّد,sustain,Suffer,Incur,suffer,suffer,incur,incur
سيفط,submit,Laugh,Jump,eat,eat,fall,cut
تكوّن,consist,Form,form,build,form,form,form
عصف,blow,Sweep,sweep,sweep,sweep,sweep,sweep
رشد,guide,Guide,Grow,guide,grow,guide,grow
قنع,convince,convince,convince,convince,convince,convince,convince
مارس,practice,Practice,Practice,practice,practice,practice,practice
قوّا,strengthen,Strength,strengthen,eat,strengthen,strengthen,strengthen
دقّ,knock,Knock,Knock,knock,knock,knock,knock
عرض,invite,Present,present,present,present,present,present
تخلّا,abandon,Leave,Leave,leave,leave,let go,leave
جاوب,reply,Answer,answer,answer,answer,answer,answer
حرّك,shake,Move,Move,move,move,move,move
صلح,fix,Fix,repair,fix,repair,fix,repair
تضاهر,pretend,Pretend,pretend,pretend,pretend,pretend,pretend
شاور,consult,Shower,consult,shower,shower,shower,shower
قسم,divide,Divide,divide,swear,swear,swear,swear
نخارط,engage,Laugh,Dig,drive,drive,argue,drive
حقّق,fulfill,Achieve,Achieve,achieve,achieve,achieve,achieve
حكم,rule,Judge,rule,speak,judge,judge,judge
عالج,process,Treat,Treat,treat,treat,treat,treat
جاب,fetch,Bring,bring,bring,bring,bring,bring
نقل,convey,Move,move,move,move,move,move
جسّد,incorporate,Embodiment,embody,embody,embody,embody,embody
حصر,restrict,Restrict,restrict,count,restrict,restrict,restrict
ستبعد,eliminate,To banish,remove,leave,remove,remove,remove
زوّل,eliminate,Download,Wash,download,swim,download,wear off
لغا,eliminate,To go,to go,sleep,sleep,turn on,leave
حوّل,convert,Transform,Convert,transform,convert,transform,convert
تقاعد,retire,Retire,retire,retire,retire,retire,retire
ضبط,adjust,Adjust,Adjust,fix,adjust,adjust,adjust
عدّل,adjust,Modify,modify,fix,modify,modify,modify
سهّل,ease,Facilitate,Facilitate,facilitate,facilitate,facilitate,facilitate
كبّ,pour,To eat,to pour,pour,pour,pour,pour
صبّ,pour,"Pour traduire le verbe ""صبّ"" en anglais, on utilise le mot ""pour"".",Pour.,pour,pour,pour,pour
نسج,knit,Weaving,weave,weave,weave,weave,weave
دعم,back,Support,Support,support,support,support,support
طراسا,trace,To swim,Swim,cook,swim,dance,knock
سجّل,register,Register,Register,register,register,register,register
حسب,calculate,According to,Calculate,depend,calculate,depend,consider
حفّز,stimulate,Motivate,Motivate,motivate,motivate,motivate,motivate
طبع,print,Print,Print,print,print,print,print
إمپريما,print,Impress,To prioritize,eat,improvise,impress,improvise
توتّر,stress,Stress,Tense,stress,stress,stress,stress
عيّن,appoint,Appoint,Appoint,appoint,appoint,appoint,appoint
تدخّل,interfere,Intervene,intervene,intervene,intervene,interfere,interfere
عتارض,object,Oppose,oppose,argue,contradict,object,object
قوّا,boost,Strength,strengthen,strengthen,strengthen,strengthen,strengthen
يسّر,facilitate,facilitate,facilitate,facilitate,facilitate,facilitate,facilitate
سهّل,facilitate,Facilitate,Facilitate,facilitate,facilitate,facilitate,facilitate
حتاج,lack,Need,need,need,need,need,need
حبس,cease,Imprisonment,Imprison,detain,detain,imprison,imprison
نفّد,enforce,Run,to exhaust,run,run out,run out,run out
تأقلم,adapt,Adapt,Adapt,adapt,adapt,adapt,adapt
عڭد,tie,Laugh,agree,eat,eat,argue,bite
قتابس,quote,Quote,Quote,quote,quote,quote,quote
سيطر,dominate,Control,control,control,control,control,control
فرڭع,pop,Jump,Jump,vomit,eat,jump,wake up
عجب,please,Like,like,like,like,like,like
صمّم,design,Design,Design,design,design,design,design
تدخّل,intervene,Intervene,intervene,intervene,intervene,interfere,interfere
طلّع,yield,Go up,To go out,go out,go up,go out,go out
ستاقل,resign,Drive,miss,miss,need,drive,need
تهجّا,spell,Laugh,sing,speak,sing,speak,scream
حرّك,stir,Move,Move,move,move,move,move
خصّص,spare,Allocate,dedicate,reserve,dedicate,allocate,dedicate
قدّر,estimate,Appreciate,estimate,appreciate,appreciate,appreciate,estimate
ضرب,kick,Hit,hit,hit,hit,hit,hit
ركل,kick,Kick,kick,kick,kick,kick,kick
عدّد,list,Count,Count,count,count,count,count
لبس,dress,Wearing,wear,wear,wear,wear,wear
علن,declare,Announce,announce,announce,announce,announce,announce
ديكلارا,declare,Declare,Declare,declare,declare,declare,declare
أكّد,assure,Confirm,confirm,confirm,confirm,confirm,confirm
ستامدّ,derive,Chilling,Understand,understand,understand,support,support
دخل,access,Enter,enter,enter,enter,enter,enter
أجّل,delay,Delay,Delay,delay,delay,postpone,postpone
وضّح,clarify,Explain,clarify,clarify,clarify,clarify,clarify
نقل,copy,Move,move,move,move,move,move
نسخ,copy,Copy,copy,copy,copy,copy,copy
فضّل,favor,Prefer,prefer,prefer,prefer,prefer,prefer
مدّ,hand,Stretch,Extend,stretch,stretch,extend,extend
قبط,capture,Steal,Steal,eat,catch,steal,steal
عزّز,reinforce,Strengthen,strengthen,strengthen,strengthen,strengthen,strengthen
حوّل,transform,Transform,Convert,transform,convert,transform,convert
فهم,perceive,Understand,understand,understand,understand,understand,understand
خدم,function,Work,Work,work,work,work,work
غادر,quit,Leave,leave,leave,leave,leave,leave
رافق,accompany,Accompany,Accompany,accompany,accompany,accompany,accompany
موّل,fund,Fund,Fund,finance,lend,finance,finance
جمع,pack,Gather,to collect,gather,collect,collect,collect
صحّح,correct,Correct,Correct,correct,correct,correct,correct
أبحر,sail,Sail,Sail,sail,sail,sail,sail
عوّض,compensate,Substitute,Replace,substitute,replace,replace,replace
سرق,steal,Steal,steal,steal,steal,steal,steal
شفر,steal,See,See,watch,see,unlock,unlock
قوّض,undermine,Undermine,Undermine,undermine,undermine,undermine,undermine
متدّ,range,Laugh,To stretch,sit,wait,fall,wait
عارض,oppose,Oppose,oppose,refuse,oppose,oppose,oppose
حدّد,locate,Choose,determine,choose,determine,define,determine
زرب,hurry,Slap,Hit,stir,pour,mix,suck
نشر,broadcast,publish,publish,publish,publish,publish,publish
قاضا,sue,Judge,judge,judge,judge,judge,judge
ميزا,bid,Dance,Differentiate,eat,differentiate,distinguish,distinguish
ضوّا,light,Shine,Light,shine,turn on,turn on,light up
تباطأ,slow,Slow down,slow,slow,slow,slow down,slow
همّ,concern,Laugh,To do,think,want,worry,worry
رفض,dismiss,Refuse,refuse,refuse,refuse,refuse,refuse
صلح,repair,Fix,repair,fix,repair,fix,repair
طابق,conform,Cook,To floor,build,find,build,match
ربط,attach,Connect,tie,tie,tie,tie,tie
زرّب,rush,Dance,To visit,paint,pour,decorate,knock
غرق,sink,Drown,drown,drown,drown,drown,drown
نتازع,grab,Argue,argue,argue,argue,argue,argue
كالما,calm,Speak,speak,eat,speak,speak,speak
حتجّ,protest,Laugh,Need,argue,need,argue,need
وازن,balance,Balance,balance,weigh,weigh,weigh,weigh
طلب,beg,Ask,ask,ask,ask,request,ask
تبّت,install,Establish,Establish,eat,sit,fasten,sit down
طوّر,advance,Develop,Develop,improve,develop,develop,develop
طرد,fire,Kick,expel,expel,expel,expel,expel
عاون,aid,Help,Help,help,help,help,help
تدفّق,flow,Flow,flow,flow,flow,flow,flow
جرّ,drag,Walk,drag,drag,drag,drag,drag
تطابق,correspond,Match,match,match,match,match,match
شكّل,pose,Shape,form,form,shape,shape,shape
تعجب,admire,Impress,wonder,like,wonder,impress,wonder
خفّف,relieve,Lighten,Lighten,lighten,lighten,lighten,reduce
دابز,combat,Dance,Jump,eat,jump,chill,clean
ندامج,integrate,Mix,Merge,mix,merge,merge,merge
ماتّافقش,disagree,Disagree,disagree,disagree,disagree,disagree,disagree
اتصل,connect,Call,call,call,call,call,call
حيّن,update,Laughing,Remember,sleep,go,wake up,guide
غيّر,modify,Change,Change,change,change,change,change
ختار,opt,Choose,Choose,choose,choose,choose,choose
أمر,command,Order,order,order,order,order,order
متاتل,obey,Laughing,Die,sleep,hesitate,stumble,hesitate
ستخرج,extract,Go out,to go out,go out,go out,go out,extract
عارض,counter,Show,oppose,refuse,oppose,oppose,oppose
ستأنف,resume,Resume,resume,resume,resume,resume,resume
شدّ,grasp,Pull,pull,pull,pull,pull,pull
ستوعب,grasp,Understand,Understand,understand,understand,understand,understand
تزعلل,swing,Get angry,Get angry,get angry,get angry,get angry,get angry
سلّم,render,Submit,deliver,greet,greet,deliver,submit
زرب,speed,Slap,Hit,to pour,pour,dive,suck
واجه,confront,Face,Face,face,face,confront,face
منع,ban,Prohibit,prevent,prevent,prevent,prevent,prevent
مسح,wipe,Wipe,wipe,wipe,wipe,wipe,wipe
ضوبل,double,Laugh,Hit,hit,swim,hit,wash
شتامل,comprise,Insult,Understand,insult,understand,insult,collect
شهد,witness,Witness,to witness,witness,taste,witness,witness
غرس,plant,Plant,plant,plant,plant,plant,plant
جزم,assert,Dance,decide,dance,decide,decide,decide
كشف,disclose,Reveal,reveal,reveal,reveal,reveal,reveal
عصر,squeeze,squeeze,squeeze,squeeze,squeeze,squeeze,squeeze
بجغ,squeeze,Laugh,Bark,eat,laugh,stumble,argue
ربط,bind,Connect,tie,connect,tie,tie,tie
ضرّ,harm,Harm,Harm,harm,harm,harm,harm
أدا,harm,Sing,pay,give,give,give,pay
تلاقا,encounter,Meet,meet,meet,meet,meet,meet
طلب,request,Ask,ask,ask,ask,request,ask
عانا,struggle,Suffer,suffer,suffer,suffer,suffer,suffer
خدّم,hire,Work,Work,work,work,serve,serve
خبّا,conceal,Hide,Hide,hide,hide,hide,hide
خدّم,recruit,Work,Work,work,work,serve,serve
سرح,wander,Daydream,Travel,daydream,daydream,daydream,daydream
شدّد,emphasize,Strengthen,strengthen,emphasize,strengthen,tighten,strengthen
عبر,weigh,Pass,Express,cross,cross,cross,cross
وزن,weigh,Weigh,to weigh,weigh,weigh,weigh,weigh
تزامن,coincide,coincide,coincide,coincide,synchronize,synchronize,synchronize
حنا,bend,We.,Go,go,go,we,go
تنا,bend,Laugh,sing,eat,sleep,sleep,sing
نضّم,regulate,organize,organize,organize,organize,organize,organize
نقد,rescue,Critique,criticize,criticize,criticize,criticize,criticize
رفّه,entertain,Relax,Relax,relax,relax,relax,relax
توقّع,forecast,Expect,expect,expect,expect,expect,expect
فحص,inspect,Check,examine,examine,examine,check,check
صدّر,export,Export,Export,export,export,export,export
لحّ,urge,Laugh,Rub,eat,taste,taste,boil
ستنتج,induce,Produce,produce,produce,deduce,produce,produce
سدّ,lock,Block,block,block,block,block,block
عرض,exhibit,Present,present,present,present,present,present
سخّن,warm,Heat,speak,heat,heat,heat,heat
دفّا,warm,Warm,Warm,warm,warm,warm,warm
عتارف,confess,Confess,admit,confess,confess,confess,confess
سمح,forgive,Allow,Allow,forgive,permit,allow,allow
طمّر,tolerate,Bury,bury,bury,bury,bury,bury
تسلّق,mount,Climbing,climb,climb,climb,climb,climb
مسح,brush,Wipe,wipe,wipe,wipe,wipe,wipe
نتج,reproduce,produce,produce,produce,produce,produce,produce
خضع,undergo,Submit,submit,submit,submit,submit,submit
بهر,impress,Surprise,sell,surprise,sell,surprise,sell
نخافض,decline,Lower,Lower,lower,lower,lower,lower
فرك,rub,Rub,Rub,rub,rub,rub,rub
وكّل,cater,Delegate,entrust,eat,eat,delegate,entrust
دار,tour,House,to do,do,do,do,live
وزّع,distribute,Distribute,distribute,distribute,distribute,distribute,distribute
حسّ,sense,Feel,Feel,feel,feel,feel,feel
خلّص,repay,Finish,Finish,finish,finish,finish,finish
رجّع,regain,Return,return,return,return,return,return
ستعاد,regain,To repeat,repeat,return,remember,return,repeat
قلّل,minimize,Reduce,reduce,reduce,reduce,reduce,reduce
وقّف,halt,Stop,stop,stop,stop,stop,stop
شكّل,shape,Shape,form,form,shape,shape,shape
زعج,disturb,Annoy,annoy,bother,annoy,bother,annoy
عضّ,bite,Bite,Bite,bite,bite,bite,bite
تقدّم,progress,present,to offer,offer,offer,offer,advance
كرّس,devote,Devote,Consecrate,consecrate,write,devote,scratch
ستافزّ,provoke,Chilling,to increase,chill,win,cheer,encourage
طمأن,reassure,Assure,Assure,assure,assure,assure,assure
تأمّل,contemplate,Contemplate,Contemplate,contemplate,contemplate,contemplate,contemplate
حدّر,alert,Laugh,Warn,pour,prepare,whisper,warn
تفاعل,interact,React,Interact,interact,interact,interact,interact
سخّن,heat,Heat,speak,heat,heat,heat,heat
بتاكر,devise,Eat,Eat,take,remember,chat,remember
حكم,govern,Judge,rule,judge,judge,judge,judge
عانق,embrace,Hug,Hug,hug,hug,hug,hug
عزّا,comfort,Cry,Honor,boast,comfort,console,console
حجز,seize,Book,Book,book,book,reserve,reserve
دوّب,melt,Dance,Melt,clean,melt,melt,light up
زاد,supplement,Increase,increase,increase,increase,increase,increase
تكّا,lean,Laugh,Stand,eat,sit,wait,wait
طبّق,exert,Apply,Apply,cook,apply,apply,apply
حتارس,beware,Guard,Watch,watch,watch,watch out,watch
تشابه,resemble,Resemblance,resemble,resemble,resemble,resemble,resemble
منع,abolish,Prohibit,prevent,prevent,prevent,prevent,prevent
هرّس,crack,Mash,Grind,mash,plow,mash,grind
قمع,suppress,Suppress,suppress,suppress,repress,suppress,suppress
ڭابل,guard,Accept,Accept,eat,accept,accept,accept
فاجأ,surprise,Surprise,Surprise,surprise,surprise,surprise,surprise
تردّد,hesitate,Hesitate,hesitate,hesitate,hesitate,hesitate,hesitate
شحن,load,Recharge,Charge,charge,charge,charge,charge
سرط,swallow,Laugh,Run,drive,laugh,steal,cheat
بدا,initiate,Start,start,start,start,start,start
أتّر,effect,Laugh,Wait,wait,wait,wait,wait
تحكّم,manipulate,Control,control,control,control,control,control
ردع,deter,Deter,Deter,scare,warn,scare,scare
رتابط,associate,Link,Communicate,connect,communicate,connect,connect
أدار,administer,Spin,to manage,drive,turn,turn,turn
قتل,murder,Kill,kill,kill,kill,kill,kill
تابر,persist,To dance,Endure,dance,cook,fix,sweep
حيّا,greet,Live,live,welcome,welcome,welcome,welcome
دمّع,tear,Tear,tear,tear,tear,tear,tear
طارد,hunt,Chase,Chase,chase,chase,chase,chase
فسد,spoil,Corrupt,corrupt,corrupt,corrupt,corrupt,corrupt
سطّر,line,Write,Write,write,write,write,write
بارك,bless,Celebrate,to bless,congratulate,park,park,congratulate
ختارق,penetrate,Choose,Escape,dive,swim,drown,escape
ضاعف,multiply,Double,double,double,double,double,double
دمج,merge,Merge,Merge,merge,merge,merge,merge
درّب,coach,Train,Train,train,train,train,train
جفّ,drain,Dry,Dry,dry,dry,dry,dry
ستنزف,drain,bleed,bleed,bleed,bleed,bleed,bleed
كفا,suffice,Stop,Stop,stop,stop,enough,stop
فتارض,presume,Accept,Agree,agree,agree,agree,agree
صيّد,fish,Fish,hunt,fish,hunt,hunt,fish
تقدّا,shop,Predict,predict,predict,estimate,predict,estimate
تسابق,race,Race,race,race,race,race,race
شرّف,honor,Honor,honor,honor,honor,honor,honor
جمّد,freeze,Freeze,Freeze,freeze,freeze,freeze,freeze
داوا,cure,Try,Try,heal,treat,heal,treat
عالج,cure,Treat,Treat,treat,treat,treat,treat
تبادل,swap,Exchange,exchange,exchange,exchange,exchange,exchange
تحمّل,endure,Bear,bear,endure,tolerate,bear,bear
طارد,chase,Chase,Chase,chase,chase,chase,chase
ستهلك,consume,Eat,consume,consume,consume,consume,consume
خشا,insert,Enter,fear,walk,fear,fear,fear
تسنّا,await,Wait,wait,wait,wait,wait,wait
نجارف,drift,Laughing,Succeed,fix,sweep,carve,sweep
بدّل,substitute,Change,change,change,change,change,change
ستسلم,surrender,Deliver,Submit,thank,surrender,surrender,surrender
زيّر,wind,Visit,Visit,visit,visit,visit,visit
قلّص,contract,Shrink,Reduce,shrink,reduce,shrink,reduce
ميّز,differentiate,Differentiate,distinguish,differentiate,distinguish,distinguish,distinguish
علن,advertise,Announce,announce,announce,announce,announce,announce
صالح,reconcile,To pray,repair,repair,repair,repair,repair
تصوّر,project,Imagine,Imagine,imagine,imagine,imagine,imagine
نسّق,co-ordinate,Coordinate,Organize,organize,organize,arrange,organize
فرڭع,snap,Jump,Jump,vomit,eat,jump,yell
لعن,damn,Curse,curse,curse,curse,curse,curse
طيّب,bake,To be good,To make,be good,agree,alright,calm
طوا,fold,Cooking,Fly,cook,iron,burn,cook
تنازل,concede,Resign,resign,resign,resign,resign,resign
جدّد,renew,Renew,Renew,renew,renew,renew,renew
صاغ,formulate,Craft,to forge,write,write,forge,forge
خلّط,confuse,Mix,Mix,mix,mix,mix,mix
حدّ,maximize,Laugh,speak,eat,limit,limit,limit
مسح,sweep,Wipe,wipe,wipe,wipe,wipe,wipe
وجّه,steer,Direct,direct,direct,direct,direct,direct
تساهل,indulge,Ease,tolerate,relax,tolerate,relax,tolerate
خفّض,decrease,Lower,Lower,lower,lower,lower,lower
حجز,reserve,Book,book,book,book,reserve,reserve
رزرڤا,reserve,Reserve,Reserve,reserve,reserve,reserve,reserve
ستقبل,host,Accept,receive,accept,receive,accept,receive
تطوّر,evolve,Evolve,develop,evolve,evolve,evolve,evolve
رعا,foster,Take care,Take care,eat,take care,take care,take care
عڭّز,discourage,Laugh,teach,need,help,park,park
طوّق,curb,Choke,To leash,eat,leash,leash,leash
خصّص,dedicate,Dedicate,dedicate,reserve,dedicate,allocate,dedicate
شرف,supervise,Honor,honor,honor,honor,honor,honor
تلاشا,fade,Disappear,Search,disappear,search,disappear,search
دعم,endorse,Support,Support,support,support,support,support
أدان,condemn,Condemn,condemn,judge,condemn,judge,condemn
حجز,book,Book,book,book,book,reserve,reserve
صلح,reform,Fix,repair,fix,repair,fix,repair
عاقب,punish,Punish,Punish,Punish,punish,punish,punish
فرڭع,bang,Jump,Jump,vomit,eat,jump,yell
ستعرض,outline,Present,present,present,present,present,present
قلّل,diminish,Reduce,reduce,reduce,reduce,reduce,reduce
ساد,prevail,Rule,Lead,sleep,help,rule,help
نقّز,leap,Jump,Jump,jump,jump,jump,jump
لوا,wrap,Eat,See,eat,eat,return,turn
تفاهم,compromise,Understand,understand,understand,understand,understand,understand
راب,collapse,rap,Wrap,rap,rap,rap,rap
حما,safeguard,Protect,Protect,protect,protect,protect,protect
منع,inhibit,Prohibit,prevent,prevent,prevent,prohibit,prevent
غوّت,scream,Dance,Sleep,sleep,swim,dive,dive
تواعد,date,Date,date,date,date,date,date
مسح,delete,Wipe,wipe,wipe,wipe,wipe,wipe
حقق,attain,Achieve,Achieve,achieve,achieve,achieve,achieve
كره,dislike,Hate,hate,hate,hate,hate,hate
تصوّر,conceive,Imagine,Imagine,imagine,imagine,imagine,imagine
ملا,dictate,Eat,Fill,eat,fill,fill,fill
وحّد,unite,Unify,Unify,unify,unify,unify,unify
ستورد,import,Import,import,import,import,import,import
بنا,rebuild,Build,build,build,build,build,build
زداهر,flourish,Laugh,to appear,show,decorate,reveal,exaggerate
نتاقد,criticize,Critique,criticize,criticize,criticize,criticize,criticize
غلا,boil,Love,Love,boil,love,boil,boil
غلا,inflate,Love,Love,love,love,boil,boil
هرب,flee,Escape,escape,escape,flee,escape,escape
بدا,commence,Start,start,start,start,start,start
مدح,praise,Praise,praise,praise,praise,praise,praise
بلاصا,park,Dance,to replace,eat,sit,situate,please
ميّز,discriminate,Distinguish,distinguish,differentiate,distinguish,distinguish,distinguish
تبع,track,Follow,Follow,follow,follow,follow,follow
طوّق,enclose,To walk.,To leash,eat,leash,leash,leash
قابل,interview,Meet,meet,meet,meet,meet,meet
شدّد,tighten,Strengthen,strengthen,tighten,strengthen,tighten,strengthen
لوّن,color,Color,Color,color,color,color,color
غامر,venture,Risk,risk,dare,dare,dare,dare
خمّن,speculate,Guess,Guess,guess,guess,guess,guess
قدّر,speculate,Appreciate,estimate,appreciate,appreciate,appreciate,estimate
غادر,depart,Leave,leave,leave,leave,leave,leave
قاطع,interrupt,Interrupt,Interrupt,interrupt,stop,interrupt,interrupt
موّه,disguise,Laugh,Deceive,sleep,lie,fool,dye
نتاخب,elect,Laugh,Choose,chill,elect,chill,elect
تحمّل,withstand,Bear,bear,bear,bear,bear,bear
كبح,restrain,Control,restrain,restrain,restrain,restrain,restrain
نما,thrive,Sleep,sleep,sleep,sleep,grow,grow
عاود,echo,Repeat,Repeat,repeat,repeat,repeat,repeat
نحارف,divert,Drive,speak,argue,speak,argue,argue
قلا,fry,Say,say,cook,say,fry,cook
داب,dissolve,Walk,To crawl,walk,melt,walk,crawl
عدّل,edit,Modify,modify,fix,modify,modify,modify
جمّع,assemble,Gather,collect,gather,collect,gather,collect
خرّب,ruin,Destroy,Destroy,destroy,destroy,destroy,destroy
سرّع,accelerate,Speed,speed,hurry,speed,speed,speed
تصور,envisage,Imagine,Imagine,imagine,imagine,imagine,imagine
هنّأ,congratulate,Congratulate,congratulate,congratulate,congratulate,congratulate,congratulate
ستردّ,retrieve,Reply,answer,reply,answer,return,return
هبط,descend,Descend,descend,land,land,descend,land
وڭّف,suspend,Laugh,Understand,eat,understand,park,lift
جرّب,experiment,Try,Try,try,try,try,try
خلع,frighten,Take off,take off,take off,take off,remove,remove
قولب,fool,Say,Say,mold,tell,mold,mold
ألهم,inspire,Inspire,Inspire,inspire,inspire,inspire,inspire
شافا,heal,See,See,see,heal,heal,heal
ضبط,master,Adjust,Adjust,fix,adjust,adjust,adjust
كمّل,terminate,كمّل - Complete,Complete,continue,complete,continue,complete
عدّل,amend,Edit,modify,fix,modify,modify,modify
خدش,scratch,Scratch,Take,scratch,scratch,scratch,scratch
ستلزم,entail,Require,require,need,require,require,require
نفّد,execute,Run,To exhaust,run,run out,run out,run out
عدم,execute,Avoid,to refuse,refrain,refrain,deny,lack
وطّد,consolidate,Strengthen,Strengthen,strengthen,strengthen,strengthen,strengthen
دوّر,round,Search,Search,search,search,search,search
عزل,isolate,Isolate,Isolate,isolate,isolate,isolate,isolate
برّر,warrant,Justify,Justify,justify,justify,justify,justify
ضعّف,weaken,Double,weaken,double,weaken,weaken,weaken
تمشّا,march,Walk,walk,walk,walk,walk,walk
بغا,desire,Want,want,want,want,want,want
وسّع,widen,Expand,Expand,expand,expand,expand,expand
دردش,chat,Chat,chat,chat,chat,chat,chat
ركب,board,Install,Install,ride,ride,ride,install
ختارع,invent,Choose,Choose,invent,imagine,improvise,choose
صنع,manufacture,Make,make,make,make,make,make
سدّ,seal,Block,block,close,block,block,block
راجع,reconsider,Review,review,return,review,review,review
مصّ,suck,Suck,Suck,suck,suck,suck,suck
صوّر,picture,Take a picture,To film,photograph,photograph,take a picture,photograph
صطادم,crash,Clash,Collide,collide,fight,collide,collide
فرشخ,crash,Laugh,To spread,sleep,splash,splash,splash
نقل,transport,Move,move,move,move,move,move
بلوكا,plug,Block,Block,block,play,block,block
عيّن,assign,Appoint,Appoint,appoint,appoint,appoint,appoint
ستفسر,inquire,Ask,inquire,ask,inquire,inquire,inquire
صيّد,trap,Fish,hunt,fish,hunt,hunt,fish
دوّر,surround,Search,Search,search,search,search,search
تناقش,debate,Discuss,discuss,discuss,discuss,discuss,discuss
طوّر,upgrade,Develop,Develop,develop,develop,develop,develop
زيّن,decorate,Decorate,decorate,decorate,decorate,decorate,decorate
جمع,accumulate,Gather,to collect,gather,collect,collect,collect
ستاغلّ,profit,Enjoy,Work,chill,work,struggle,work
ورت,inherit,Dance,bring,eat,plant,hide,grow
خربق,disrupt,Flirt,to jump,knock,laugh,knock,knock
خنق,choke,Strangle,strangle,choke,choke,choke,choke
دافع,plead,Pay,pay,defend,pay,defend,defend
غمّس,dip,Dip,Dip,dip,immerse,dip,dip
شتارك,subscribe,Participate,Participate,share,participate,ignore,participate
علّم,educate,Teach,teach,teach,teach,teach,teach
طلّق,divorce,Divorce,Divorce,divorce,divorce,divorce,divorce
غزل,spin,Flirt,Flirt,flirt,flirt,flirt,flirt
شوّش,obscure,Whisper,whisper,whisper,whisper,disturb,confuse
تسلّل,creep,Sneak,sneak,sneak,sneak,sneak,sneak
حرّف,twist,Distort,distort,twist,twist,twist,distort
مزج,blend,Mix,mix,mix,mix,mix,mix
راجع,revise,Review,review,return,review,review,review
نسب,attribute,Forget,forget,forget,attribute,attribute,attribute
نفاجر,explode,Argue,Deny,explode,provoke,explode,explode
سكن,dwell,Live,live,live,live,reside,live
خفّف,alleviate,Lighten,Lighten,lighten,lighten,reduce,reduce
عالج,remedy,Treat,Treat,treat,treat,treat,treat
رشد,instruct,Guide,Grow,guide,grow,guide,grow
تسرّب,spill,Leak,leak,leak,leak,leak,leak
فهم,comprehend,Understand,understand,understand,understand,understand,understand
رطّب,soften,Moisturize,Moisten,moisten,moisten,moisten,moisten
شيّر,wave,Laugh,To sell,buy,buy,move,move
سطوكا,stock,Steal,Steal,steal,steal,steal,rob
وضع,position,Put,put,put,put,put,put
أمّن,insure,Secure,Believe,protect,believe,secure,secure
نخارط,adhere,Laugh,Dig,drive,fix,argue,drive
تشبّت,cling,Hold on,insist,cling,insist,cling,insist
ستدعا,summon,Call,to call,call,call,call,call
وڭف,pause,Listen,Stand,eat,stop,stop,stop
وقف,pause,Stop,stop,stop,stop,stop,stop
خوا,empty,Want,Want,want,want,want,want
رتّب,classify,Arrange,arrange,arrange,arrange,organize,organize
تحمّل,afford,Endure,bear,endure,bear,bear,bear
تسمع,sound,Listen,hear,listen,hear,listen,hear
نقّط,grade,Point,to dot,drip,drop,drip,drip
رجع,revert,Come,return,return,return,come back,return
قيّم,value,Evaluate,evaluate,evaluate,evaluate,evaluate,evaluate
جازا,award,Jaza,reward,pay,reward,reward,reward
كافح,strive,Struggle,Fight,struggle,struggle,struggle,fight
بلّغ,notify,Inform,reach,inform,reach,inform,inform
طفا,turn off,Turn off,turn off,turn off,turn off,turn off,extinguish
ريّح,sit down,Relax,Smell,relax,smell,relax,relax
غش,cheat,Cheating,Cheat,cheat,cheat,cheat,cheat
قشّر,peel,Peel,Peel,peel,peel,peel,peel
