darija_ar,eng,p5_transl,eng_p5_transl
رئيس,major,boss,boss
قائد,major,leader,leader
وثيقة,document,document,document
وصف,description,description,description
هدف,aim,goal,goal
غرض,aim,object,object
ڤول,flight,ball,ball
خاتمة,conclusion,Conclusion,Conclusion
تقليد,tradition,imitation,imitation
پليزير,pleasure,Pleasure,pleasure
مول,owner,money,mall
معاهدة,treaty,treaty,treaty
رغبة,desire,desire,desire
پروفسور,professor,Professor,Professor
نسخة,copy,copy,copy
حامض,acid,sour,lemon
قصر,palace,palace,palace
أدريسّا,address,"I'm sorry, but ""أدريسّا"" doesn't seem to be a common Moroccan Darija word. Could you please provide another word for translation?",teacher
مؤسسة,institution,foundation,institution
غدا,lunch,tomorrow,tomorrow
جيل,generation,generation,generation
شريك,partner,partner,partner
موطور,engine,car,car
جورنال,newspaper,newspaper,newspaper
تخفيض,reduction,discount,discount
رفاهية,welfare,luxury,luxury
تعريف,definition,definition,definition
طلق,release,fire,divorce
تصويت,vote,vote,vote
فحص,examination,check,examination
قاضي,judge,judge,judge
غلاف جوّي,atmosphere,Atmosphere,atmosphere
قيادة,leadership,driving,steering
سما,sky,sky,sky
نفس,breath,breath,soul
خلق,creation,creation,behavior
صف,row,row,class
ڭيد,guide,hand,wall
حليب,milk,milk,milk
تغطية,cover,cover,cover
شاشة,screen,screen,screen
هدف,intention,goal,goal
نقد,criticism,cash,cash
نقرة,silver,click,click
كليان,customer,shoes,plates
رحلة,journey,journey,trip
تفسير,explanation,interpretation,interpretation
خضر,green,green,vegetables
عبار,measure,carrots,ship
دماغ,brain,brain,brain
معنى,significance,meaning,meaning
إصابة,injury,injury,injury
جرية,run,shoes,carriage
پلاج,coast,beach,beachwear
تقنية,technique,technology,technology
واد,valley,river,river
مشروب,drink,drink,drink
مجلة,magazine,magazine,magazine
إمكانية,potential,possibility,possibility
ثورة,revolution,revolution,revolution
مستوطنة,settlement,settlement,settlement
عيسى,christ,Jesus,Jesus
معدن,metal,metal,metal
إقتراح,motion,suggestion,suggestion
مؤشّر,index,indicator,indicator
بالغ,adult,adult,adult
تضخّم,inflation,inflation,inflation
رياضة,sport,sport,sport
مفاجأة,surprise,surprise,surprise
تقاعد,pension,retirement,retirement
معمل,factory,factory,factory
شريط,tape,tape,tape
كاسيط,tape,chairs,plates
تيار,flow,electricity,current
حديد,iron,iron,iron
خط,lane,line,line
طريق,lane,road,road
پيسين,pool,money,money
حفرة,hole,hole,hole
پارطمة,flat,potato,potato
محتوى,content,content,content
مزيج,combination,mixture,mixture
تخليطة,combination,mixture,mixture
جلسة,session,session,session
موعد,appointment,appointment,appointment
لاموض,fashion,candle,pencil
مستهلك,consumer,consumer,consumer
كليان,consumer,spoon,plates
سكنى,accommodation,home,residence
درجة الحرارة,temperature,temperature,temperature
دين,religion,religion,religion
كاتب,author,writer,writer
مؤلّف,author,author,author
أمة,nation,nation,community
شمالي,northern,northern,northerner
عيّنة,sample,sample,sample
مساعدة,assistance,help,help
ترجمة,interpretation,translation,translation
تأويل,interpretation,interpretation,interpretation
جانب,aspect,side,side
عرض,display,show,show
كتف,shoulder,shoulder,shoulder
وكيل,agent,agent,lawyer
صالون,gallery,salon,salon
كونصير,cancer,converse,engine
إقتراح,proposal,suggestion,suggestion
تسلسل,sequence,Sequence,sequence
باخيرة,ship,last,wallet
باطو,ship,shoe,shoe
أنتخوتيان,interview,Sunglasses,sandals
مركبة,vehicle,vehicle,vehicle
ديمقراطية,democracy,democracy,democracy
تحسين,improvement,improvement,improvement
تطوير,improvement,development,development
تورّط,involvement,trouble,complication
عام,general,year,year
جنيرال,general,general,General
وجبة,meal,meal,meal
فطور,breakfast,breakfast,breakfast
موطور,motor,car,car
إذاعة,channel,radio,radio
إنطباع,impression,impression,impression
صونري,tone,neighbor,candle
ورقة,sheet,paper,paper
تلوّث,pollution,pollution,pollution
لجمال,beauty,beauty,beauty
الزين,beauty,beauty,beauty
مربّع,square,checkered,square
رؤية,vision,vision,vision
بقعة,spot,spot,stain
تمييز,distinction,distinction,discrimination
قهوي,brown,coffee,coffee
جماعة,crowd,group,group
مازوط,fuel,shoe,shoe
مجموع,sum,total,total
إنخفاض,decline,Decrease,Decrease
مدخول,revenue,income,income
لخريف,fall,Autumn,autumn
طيحة,fall,fall,fall
ريجيم,diet,diet,diet
تراب,soil,dust,dust
قارئ,reader,reader,reader
صدمة,shock,shock,shock
فاكهة,fruit,fruit,fruit
بالنيابة,behalf,substitute,proxy
نيف,nose,sleep,sleep
منخر,nose,nose,nose
حديد,steel,iron,iron
فنان,artist,artist,artist
أغنية,song,song,song
ديسك,song,desk,desk
صيانة,maintenance,maintenance,maintenance
تكوين,formation,composition,formation
ڭازون,grass,car,blanket
ناطق بإسم,spokesman,Speaker,spokesperson
تلج,ice,snow,snow
حديث,talk,conversation,conversation
برنامج,program,program,program
رابط,link,link,link
خبير,expert,expert,expert
إكسبير,expert,Expert,experience
مؤسسة,establishment,foundation,institution
ميكا,plastic,micah,microwave
پلاستيك,plastic,Plastic,plastic
مرشّح,candidate,filter,filter
ممرّ,passage,alley,corridor
كنيسة,parish,church,church
مرجع,reference,reference,reference
طوارئ,emergency,emergency,emergency
مسؤولية,liability,responsibility,responsibility
موقع,location,place,website
إطار,framework,frame,tire
إضراب,strike,strike,strike
العروبية,countryside,hospitality,Arabness
خريطة,map,map,map
بحيرة,lake,lake,lake
منزلي,household,home,home
موافقة,approval,agreement,agreement
حدود,border,limits,Borders
طير,bird,bird,bird
دستور,constitution,constitution,constitution
خريف,autumn,autumn,autumn
مش,cat,no,shoe
فلاحة,agriculture,farmer,farmer
زراعة,agriculture,farming,farming
تركيز,concentration,concentration,concentration
شاب,guy,young man,young man
دري,guy,know,knowledge
كسوة,dress,outfit,clothing
جبل,mountain,mountain,mountain
رئيس تحرير,editor,editor-in-chief,editor
موضوع,theme,topic,topic
غلط,error,wrong,mistake
خطأ,error,error,mistake
قرض,loan,loan,loan
كريدي,loan,credit,credit
طانصيو,stress,chicken,lamp
تعافي,recovery,recovery,recovery
الضو,electricity,light,light
ركود إقتصادي,recession,economic recession,economic recession
ثروة,wealth,wealth,wealth
طلب,request,request,request
مقارنة,comparison,comparison,comparison
بيض,white,eggs,eggs
مشية,walk,walk,walkway
تركيز,focus,concentration,concentration
شاف,chief,look,watch
رئيس,chief,boss,boss
والد,parent,father,father
والدة,parent,mother,mother
كتلة,mass,block,block
عشبة,bush,grass,herb
ساس,foundation,foundation,car
حمّام,bath,bathroom,bathroom
موضوع,item,subject,topic
نشر,publication,spread,carpet
عشر سنين,decade,ten years,decade
پلاج,beach,beach,beach
سكر,sugar,sugar,sugar
علو,height,height,height
رتفاع,height,height,height
كاتب,writer,writer,writer
بلاكة,panel,jacket,Plate
صراع,struggle,conflict,conflict
نتيجة,outcome,result,result
كفاءة,efficiency,efficiency,efficiency
جريمة,offence,crime,crime
الدقة,resolution,precision,accuracy
خبير,specialist,expert,expert
بار,pub,outfit,outfit
تعاون,co-operation,cooperation,cooperation
مرسى,port,thank you,harbor
حادثة,incident,accident,incident
تمثيل,representation,acting,acting
خبز,bread,bread,bread
شرط,clause,condition,condition
خطأ,mistake,error,error
غلط,mistake,mistake,mistake
خدّام,worker,servant,servant
تقدّم,advance,progress,presentation
إمبراطورية,empire,empire,empire
مفهوم,notion,understanding,concept
توصيل,delivery,delivery,delivery
صندوق,chest,box,box
رخصة,licence,license,license
متوسّط,average,average,average
توسيع,expansion,expansion,expansion
مجموعة,block,group,collection
بديل,alternative,substitute,substitute
مستشار,chancellor,advisor,advisor
لحم,meat,meat,meat
محل,store,shop,shop
ماڭازة,store,carrots,bracelet
الذات,self,self,self
استراحة,break,break,break
دراما,drama,drama,drama
شركة,corporation,company,company
عملة,currency,currency,currency
توسيع,extension,expansion,expansion
مؤتمر,convention,conference,conference
معاهدة,convention,agreement,treaty
شراكة,partnership,partnership,partnership
مهارة,skill,skill,skill
تامعلميت,skill,knowledge,blackboard
جولة,round,tour,tour
مدوّر,round,round,pen
النظام ديال الحكم,regime,government,government
تحقيق,inquiry,investigation,investigation
إستفسار,inquiry,inquiry,inquiry
ريڭبي,rugby,rugby,rug
فلسفة,philosophy,philosophy,philosophy
مجال,scope,space,field
باب,gate,door,door
أقلّية,minority,minority,minority
ذكاء,intelligence,intelligence,intelligence
ريستورا,restaurant,restaurant,restaurant
نتيجة,consequence,result,result
مطحنة,mill,mill,mill
ڭولف,golf,golf,golf
تقاعد,retirement,retirement,retirement
أسبقية,priority,priority,priority
أولوية,priority,priority,priority
طيارة,plane,plane,airplane
فرق,gap,difference,difference
قلب,core,heart,heart
خال,uncle,uncle,uncle
عمّ,uncle,uncle,uncle
نشاط,fun,activity,activity
وصول,arrival,arrival,arrival
تلج,snow,snow,snow
لا,no,No,No
ظرف,circumstance,envelope,envelope
أمر,command,command,matter
تعسف,abuse,stubborn,injustice
إساءة,abuse,insult,harm
حڭرة,abuse,balcony,horse
حد,limit,limit,border
مقام,situation,position,position
ڭارانطي,guarantee,guarantee,suitcase
سلّوم,ladder,peace,prayers
قزيبة,tail,wallet,backpack
أخبار,news,news,news
جورنان,newspaper,neighbor,balcony
جريدة,newspaper,newspaper,newspaper
تقرير,report,report,report
غش,cheating,cheating,cheating
لقاح,vaccine,vaccine,vaccine
إنفجار,explosion,explosion,explosion
تجمّع,gathering,gathering,gathering
إجتماع,meeting,meeting,meeting
صورة,picture,picture,picture
قد,size,tall,wood
شكل,shape,appearance,appearance
شكاية,complaint,complaint,complaint
مجرّ,drawer,spoon,spoon
پروڭرام,program,program,programmer
سينيال,signal,sunglasses,candle
سدّ,dam,wall,dam
طليلة,look,sunglasses,Bag
كاضو,gift,present,present
كارطا,card,paper,paper
عذر,excuse,excuse,excuse
تعليق,comment,comment,comment
تلفازة,television,television,television
تليفون,phone,phone,phone
كابل,cable,cable,cable
پريز,power plug,electricity,plug
شارجور,charger,charger,balcony
إنترنت,internet,internet,internet
ڤيديو,video,video,video
أديو,audio,handbag,handbag
واتساب,whatsapp,WhatsApp,WhatsApp
فيسبوك,facebook,Facebook,Facebook
بلا سلك,wireless,wireless,wireless
سلك,wire,wire,wire
بطارية,battery,battery,battery
بوتون,button,button,button
تيليكوماند,remote control,remote control,remote
نيتفليكس,netflix,Netflix,Netflix
پارابول,tv receiver,parabola,umbrella
پيسي,laptop,money,computer
شاشة,screen,screen,screen
ليزيات,headphones,Pajamas,Slippers
ليزيكوتور,headphones,calculator,calculator
ماتيريال,hardware,material,material
پورتابل,cell phone,portable,portable
موعد,appointment,appointment,appointment
ريفاي,alarm,River,Sofa
