darija_ar,eng,p1_transl,eng_p1_transl,p2_transl,eng_p2_transl,p3_transl,eng_p3_transl,p4_transl,eng_p4_transl
كسب,obtain,Earn,Earn,Earn,Earn,Earn,earn,Win,win
متّل,represent,To imitate,"To translate ""متّل"" from Moroccan Darija into English, it means ""to kill.""",To imitate,To paint,imitate,imitate,imitate,to imitate
تضمّن,contain,Include,Include,Include,Include,Include,include,Include,include
غلب,beat,To defeat/overcome.,To defeat/overcome.,To win,To defeat,Win,defeat,Overcome,defeat
تشطن,worry,"""tschtn"" doesn't have a direct translation in English, as it seems to be in Moroccan Arabic (Darija). However, based on context, it could mean ""to chat"" or ""to talk.""",To chat,To eat,To swim,Travel,to swim,Eat,swim
تحمّل,bear,"To bear, to endure",To bear / to endure / to tolerate,Bear,to bear,Bear,bear,Download,bear
سدّ,shut,Block,block/obstruct,Block,block,Block,block,Block,block
تساءل,wonder,Wonder,Wonder,Wonder,wonder,Wonder,wonder,wonder,wonder
ناسب,fit,Fit,Fit,Fit,Fit,Fit,suit,Fit,suit
تعلّق,regard,Hang,to hang,Hang,Hang,Hang,hang,Hang,hang
حطّ,place,Put,Put/Place,Put,Put,Put,put,Put,put
شمل,involve,To include,Include,Smell,Include,Smell,include,Smell,include
اتصل,contact,Call,Call,Call,Call,Call,call,Call,call
فتارض,assume,To refuse,To agree,To accept,To accept,Refuse,agree,Refuse,agree
أشار,indicate,Pointed,Pointed,Pointed,point,Point,point,Point,point
خدم,operate,Work,Work,Work,Work,Work,work,Work,work
تصرّف,manage,Behave,behave,Behave,behave,Behave,behave,Behave,behave
تأقلم,cope,Adapt.,Adapt,Adapt,Adapt,Adapt,adapt,Adapt,adapt
حدّد,determine,Identify,Specify,Specify,To specify,Identify,determine,Choose,determine
عكس,reverse,Opposite,Reverse,Opposite,reverse,Opposite,reverse,Oppose,reverse
أشار,refer,Pointed,Pointed,Pointed,point,Point,point,Point,point
ربح,gain,Win,win,Win,win,Win,win,Win,win
فحص,examine,Check,examine,Check,examine,Check,examine,Check,examine
فضّل,prefer,Prefer,prefer,Prefer,prefer,prefer,prefer,Prefer,prefer
عتارف,admit,Confess,To confess,Confess,Confess,Confess,recognize,Confess,confess
ردّ,respond,Reply,Return,Answer,to reply,Answer,reject,Answer,return
جاوب,respond,Answer,Answer,Answer,Answer,Answer,answer,Answer,answer
عتامد,depend,I rely.,rely,Rely,Trust,depend,rely,depend,trust
نجا,survive,Survived,escape/survive,Survive,escape,Survive,escape,Survive,escape
لاحض,notice,Notice.,Notice/observe.,Notice,Notice,Notice,notice,Notice,notice
نتج,result,We produce.,produce,Produce,produce,Produce,produce,Produce,produce
بدّل,replace,Change,Change,Change,change,Change,change,Change,change
كمّل,complete,Please provide the verb in Darija so I can translate it into English.,Complete,Finish,Complete,Finish,complete,Finish,complete
رتافع,rise,"""Rtaf3"" translates to ""to raise"" in English.",To elevate or to raise,To raise,To lift,Travel,rise,Travel,Stand up
قدّم,present,Present,Present,Present,to present,give,present,submit,present
نشء,arise,We create.,We grow/develop.,Grow,To create,Create,grow,Create,grow
أشار,point,Pointed,Pointed,Point,point,Point,point,Point,point
روّج,promote,Promote,Advertise,Promote,Advertise,Promote,advertise,Promote,massage
شجّع,promote,Cheer,Encourage,Encourage,Encourage,Support,encourage,Support,encourage
أدى,perform,Perform,To perform/To give,Perform,perform,Lead,perform,perform,perform
مدّد,extend,Extend,Extend,Extend,Extend,Extend,extend,Extend,extend
أشار,mention,Pointed,Pointed,Pointed,to point,Point,point,Point,point
ختالف,vary,Argue,disagree,Argued,Differ,Argue,differ,Argue,disagree
فاد,benefit,Help,helped,Help,help,Help,help,Help,help
عالج,treat,Treat,Treat,Treat,Treat,Treat,treat,Treat,treat
علّق,hang,Hang up,To hang,Comment,Hang,Comment,hang,Comment,hang
طيّح,drop,Fall,Fall,Fall,Fall,Fall,fall,Fall,fall
بلّغ,report,Inform,To inform/notify.,To inform,to inform,Reach,reach,report,reach
صبّ,cast,Pouring,Pour,Pour.,Pour,Pour verser,pour,Pour يصبّ,pour
ختابر,test,To chat,To communicate,To chat,To test,Experience,to test,Try,to test
أمّن,secure,Secure,To secure/protect.,To secure,Believe,Secure,secure,Secure,trust
طوّل,last,To lengthen/elongate.,To lengthen/elongate.,Lengthen,To lengthen,Lengthen,lengthen,Lengthen,lengthen
وافق,match,Agreed.,Agree,Agree,agree,Agree,agree,agree,agree
قدّر,assess,Appreciate,Appreciate/Value/Estimate/Assess,Appreciate,appreciate,Appreciate,estimate,Appreciate,estimate
ساهم,contribute,Contribute,Contribute,Contribute,to help,Contribute,contribute,Contribute,contribute
مدّ,supply,Stretch,Extend/Stretch,Extend,Extend,Stretch,stretch,Stretch,extend
علن,state,Announce,Declare,Announce,Declare,Declare,announce,announce,announce
قدّر,appreciate,Appreciate,Appreciate / Value / Estimate / Respect,Appreciate,appreciate,Appreciate,estimate,Appreciate,estimate
رتابط,relate,To chat,Communicate,To link,Communicate,Get bored,link,To link,interact
تغلّب,overcome,Overcome,To overcome,Overcome,To overcome,Overcome,overcome,Overcome,overcome
تخلّص,rid,Get rid of,To get rid of,Get rid of,To finish,Get rid of,get rid of,Finish,get rid of
حاول,attempt,Try,Try,Try,Try,Try,try,Try,try
حتافض,retain,I will sit down.,You will convince.,To sit down.,convince,To clean,convince,To clean,convince
تكلّف,handle,To cost,To pretend,To pretend,to pretend,Cost,cost,Cost,cost
جدب,attract,Steal,To attract,To deceive,To attract,Steal,to drown,Steal,Pull
ساعد,assist,Help,Help,Help,help,Help,help,Help,help
عاون,assist,Help,Help,Help,Help,Help,help,Help,help
أتّر,influence,I'm coming.,To delay,To come.,Wait,Watch,wait,Wait,wait
حدّد,mark,Identify,Specify,Define,to specify,Identify,determine,Identify,determine
فكّر,recall,Think,Think,Think,Think,Think,think,Think,think
سينا,sign,"""Sina"" doesn't have a direct translation in English. It might be a name or a word in Moroccan Arabic dialect. Can you provide more context or information so I can help you better?",We slept,We went.,We swim.,Go,swim,Watch,swim
خاف,fear,Fear,Fear,Fear,Fear,Fear,fear,Fear,fear
لصق,stick,Paste,To paste,Paste,To stick,Paste,paste,Paste,paste
سوّا,settle,Do,He did/ made/ created,Do,to do,Do,to do,Do,do
ريڭل,settle,"""Rigel""",To color,Dance,Dance,Dance,paint,Laugh,Laugh
قارن,compare,compare,Compare,Compare,Compare,Compare,compare,Compare,compare
حسب,account,According to,Calculate,According to,Calculate,Based,calculate,Based on,calculate
حقّق,investigate,Achieve,Achieve,Achieve,Achieve,Achieve,achieve,Achieve,achieve
نقّا,clear,Clean,Cleanse/Clarify,Clean,Clean,Clean,clean,Clean,clean
سجّل,record,Register,Register,Register,Register,Register,register,register,register
شجّل,record,Record,To register,Record,To light,Record,register,Encourage,record
كتاشف,explore,I discover,Discover,Discover,To discover,Discover,discover,Discover,discover
لام,blame,No,To curse,To refuse,To touch,Refuse,touch,Refuse,to learn
عبر,cross,Express,To express,Express,Express,Express,cross,Pass,express
عاق,realize,Disobey,disobey,Disobey,disobey,to disobey,disobey,Disobey,disobey
ركّز,focus,Concentrate,Focus,Focus,Focus,Focus,focus,Focus,focus
وصّل,deliver,Arrive.,Deliver,Arrive,deliver,Arrive,arrive,arrive,arrive
شرع,proceed,Start,To start/To begin,To start,Begin,Start,begin,Start,begin
زعج,bother,Annoyed,bother,Annoy,annoy,Annoy,annoy,Annoy,annoy
برزط,bother,To tie,To squeeze,To tie,To jump,To tie,to swim,Connect,To squeeze
رفض,refuse,Refuse,Refuse,Refuse,refuse,Refuse,refuse,Refuse,refuse
فرض,force,Impose,impose,Impose,impose,impose,impose,impose,impose
عتاقد,reckon,I think,I think,To think,Think,Think,think,Think,think
عزم,intend,To invite,Determined.,Intend,decide,Intend,determine,Determined,decide
نصح,advise,Advise,Advise,Advise,advise,Advise,advise,Advise,advise
كتاسب,acquire,You earn,You are earning.,To earn,to earn,Study,earn,Study,to earn
سترجع,recover,You will come back.,You will return.,To return,to return,Come back,return,Return,return
نشء,generate,We create.,We grow.,Grow,To create,Create,grow,Create,grow
تميّز,distinguish,Distinguish,distinguish,Distinguish,distinguish,Distinguish,distinguish,Distinguish,distinguish
شتابه,suspect,"""Shetabah"" translates to ""he/she wrote"" in English.",Hurry,To chat,Hurry,Shopping,hurry,Write,hurry
كسب,earn,Earn,Earn,Earn,Earn,Earn,earn,Win,earn
موّل,finance,Fund,Fund,Fund,Fund,Fund,finance,Fund,finance
هدم,destroy,Demolish,destroy,Destroy,destroy,Destroy,destroy,Destroy,destroy
تبع,pursue,Follow,Follow,Follow,Follow,Follow,follow,Follow,follow
علّق,comment,Hang,Hang,Hang,Hang,Comment,hang,Comment,hang
رضا,satisfy,Satisfaction,Acceptance,Acceptance,accept,Accept,accept,Accept,accept
تنافس,compete,Compete,Compete,Compete,compete,Compete,compete,Compete,compete
قاوم,resist,Resist,resist,Resist,resist,Resist,resist,Resist,resist
لاءم,suit,Fit,Fit/Match,Fit.,Fit,Fit,fit,Fit,fit
خاطب,address,Addressed,To address/speak to/marry.,To address,to address,Speak,marry,Speak,marry
حلّ,solve,Solve,Solve/Resolve.,Solve,Solve,Solve,solve,Solve,solve
بدّل,alter,Change,change,Change,change,Change,change,Change,change
فرض,impose,Impose,impose,Impose,impose,impose,impose,impose,impose
عرض,display,"""عرض"" بالدارجة المغربية تُترجم إلى ""show"" في الإنجليزية.",Present,Present,Present,present,present,Show,present
ناشد,appeal,To beg,To plead,To ask,to request,Appeal,appeal,Appeal,request
طلق,release,Divorce,Divorce,Divorce,Divorce,Divorce,divorce,Divorce,divorce
فرز,sort,Sort,Sort,Sort,Sort,Sort,sort,Sort,sort
رتّب,sort,Arrange,Arrange,Arrange,organize,Arrange,arrange,Arrange,arrange
ختار,select,Choose,Choose,Choose,Choose,Choose,choose,Choose,choose
عبر,measure,Express,To express,Pass,Express,Express,cross,Express,express
وصّا,recommend,To advise,To advise/advise.,Advise,Advise,Advise,advise,Advise,advise
طلب,order,Ask,asked,Ask,ask,ask,ask,ask,ask
أمر,order,Order,Order,Order,Order,Command,order,"دارجة: كوماند
",order
نقل,transfer,Move,transfer,Move,to transfer,Move,move,Move,move
هجم,attack,Attack,attack,Attack,attack,Attack,attack,Attack,attack
توسّع,expand,Expand,Expand,Expand,Expand,Expand,expand,Expand,expand
تكركب,roll,To ride.,To ride.,To ride,To ride,Riding,ride,Ride,ride
نفاجر,burst,We argue,We rebel.,Argue,To provoke,Argue,argue,Argue,argue
تعهّد,undertake,Commit,Commit,Commit,commit,commit,commit,commit,commit
تساراح,relax,"""Tsaragh"" in Moroccan Arabic translates to ""to walk"" in English.",To walk,To leave,To leave,Walk,to travel,Go,to travel
تصرّف,behave,Behave,Behave,Behave,behave,Behave,behave,Behave,behave
دكّر,remind,Remind,Remind,Remind,Remind,Remind,remind,Remind,remind
فكّر,remind,Think,Think,Think,Think,Think,think,Think,think
راجع,review,Review,Review,Review,review,Review,review,Review,review
نهج,approach,To walk,To guide,Walk,guide,Walk,guide,Walk,guide
رجّع,restore,Return,Return,Return,return,Return,return,Return,return
صدر,issue,To release,To release,To release,To release,to publish,to release,to release,to release
صاڭ,ride,"""Saqq"" in Moroccan Arabic translates to ""to pour"" in English.",To swim,To go,Wake up,Go,swim,to swim,swim
شكّل,constitute,Shape,To form/shape.,Form,to shape,Form,shape,Form,shape
ڭلب,switch,Golb,To eat,To steal,To take,Love,eat,Eat,eat
درّب,train,Train,Train,Train,Train,Train,train,Train,train
ستتمر,invest,"The verb ""ستتمر"" in Moroccan Arabic translates to ""to continue"" in English.",You will continue.,To continue,To continue,Continue,to continue,Study,complete
خطا,step,Write,He wrote,Write,Write,Make a mistake,write,Write,write
حدّ,limit,Limit,Limit,Limit,speak,Limit,limit,Limit,limit
وضّح,illustrate,Explain,Explain,Explain,Clarify,Explain,clarify,Explain,clarify
ملك,own,To own,own,To own,Have,Have,have,Have,own
عالج,tackle,Treat,Treat,Treat,Treat,Treat,treat,Treat,treat
تحدّا,challenge,Challenge,Challenge,Challenge,Challenge,Challenge,challenge,Challenge,challenge
شاف,view,See,See,See,see,See,see,See,see
ملك,possess,To own,own,To own,Have,Have,have,Have,own
حاور,communicate,Interview,Interview,Interview,interview,Interview,interview,Interview,interview
تسلّق,climb,Climb,to climb,Climb,to climb,Climb,climb,Climbing,climb
فصل,separate,Fire,To fire / to dismiss / to separate,To fire.,to disconnect,Quit,disconnect,Quit,disconnect
حافض,preserve,"""ḥafḍ"" translates to ""to memorize"" in English.",To memorize,To keep,Memorize,Keep,preserve,Study,preserve
نفّد,implement,We ran out.,To exhaust/ to deplete,To run out,To exhaust,Run out,to exhaust,Finish,to exhaust
حوّل,shift,Convert,Convert,Convert,Convert,Convert,convert,Convert,convert
أقرّ,acknowledge,I admit,To admit/acknowledge.,Acknowledge,To admit,Acknowledge,acknowledge,Read,acknowledge
ستنتج,conclude,Produce,You will produce.,Produce,to deduce,Produce,produce,Produce,produce
تيرا,shoot,"""Tira"" in Moroccan Arabic translates to ""throw"" in English.",Throw,To throw,Throw,See,throw,See,throw
متاتل,comply,"""Matatl"" translates to ""to kill"" in English.",To be lazy,To hesitate,To hesitate,To procrastinate,fall,Die,die
حسّن,enhance,Improve,Improve,Improve,Improve,Improve,improve,Improve,improve
راقب,monitor,Watch,Watch/observe.,Watch,Watch,Watch,watch,Watch,watch
ڭابل,monitor,Accept,Accept,Accept,Accept,Accept,accept,Accept,accept
شرا,purchase,Buy,Buy,Buy,Buy,Buy,buy,Buy,buy
شارجا,charge,"""Sharga"" doesn't have a direct translation in English, but it can be roughly translated as ""to charge"" or ""to load"" depending on the context.",Charge,Charge,To charge,Charge,charge,Charge,charge
بحت,research,Search,I searched,Search,search,Search,search,Search,search
بغا,aim,Wants,Want,Want,want,Want,want,Want,want
ستوعب,accommodate,Understand,Understand,Understand,Understand,Understand,understand,Understand,understand
شطح,dance,Daydream,daydream,Daydream,Daydream,Daydream,daydream,Daydream,daydream
فاق,wake,To wake up,To wake up,Wake up,Wake up,Wake up,surpass,Wake,surpass
صلّا,pray,Pray,Pray,Pray,Pray,Pray,pray,Pray,pray
دوّر,telephone,Look for,Search,Search,Search,Search,search,Search,search
ماركا,score,"""Marka"" in Moroccan Arabic translates to ""to walk"" in English.",To mark,Walk,Mark,Mark,marka,Shop,march
زلق,slip,Slip,slip,Slip,slip,Slip,slip,Slip,slip
رتاكب,commit,"""Rtakb"" translates to ""ride"" in English.",To ride,Ride,To ride,Commit,ride,Commit,ride
كشف,detect,Reveal,reveal,Reveal,reveal,reveal,reveal,reveal,reveal
ستبعد,exclude,You will move away.,You will move away.,To remove,to remove,Kick out,to remove,Leave,to remove
عدر,excuse,Apologize,Return,Apologize,Return,Apologize,return,Apologize,return
فسّر,interpret,Explain,Explain,Interpret,to explain,Explain,interpret,Translate,interpret
نشر,publish,Publish,To publish,To publish,publish,Post,publish,Post,publish
لاقا,link,Find,Find,Find,find,Find,find,Find,find
تفاوض,negotiate,Negotiate,Negotiate,Negotiate,negotiate,Negotiate,negotiate,Negotiate,negotiate
حلّل,analyze,Analyze,Analyze,Analyze,Analyze,Analyze,solve,Analyze,solve
سمّا,name,"""Smma"" translates to ""listen"" in English.",To name,To listen,to name,to listen,to name,to listen,to name
متدّ,stretch,To stretch,To stretch,To stretch,Stretch,Go,to stretch,Sit,to stretch
تقلّق,upset,Worry,To worry,Worry,worry,Worry,worry,Worry,worry
أهّل,qualify,Prepare,Prepare,Prepare,Prepare,Prepare,prepare,Prepare,prepare
خسّر,damage,Lost,lose,Lose,lose,Lose,lose,Lose,lose
طلق,launch,Divorce,Divorce,Divorce,Divorce,Divorce,divorce,Divorce,divorce
صبغ,paint,Dye,Dye,Dye,Dye,Dye,dye,Dye,dye
حدّد,specify,Identify,Determine/Specify,Define,To specify,Identify,determine,Identify,determine
منح,grant,To grant,grant,Give,to grant,Give,grant,Give,grant
سلّف,lend,Lend,To lend or to advance.,Lend,To lend,Loan,lend,lend,lend
بنا,construct,Build,Build,Build,build,Build,build,Build,build
تفاعل,react,React,Interact,Interact,Interact,Interact,interact,React,interact
ستاحق,deserve,You will deserve,Deserve,Deserve,Deserve,Deserve,deserve,Deserve,deserve
ستاهل,deserve,You deserve,Deserve,Deserve,Deserve,Deserve,deserve,Deserve,deserve
ترأس,head,To head,To preside,To preside,to preside,preside,to preside,Lead,to head
وجّه,direct,Direct,Direct,Direct,Direct,Direct,direct,Direct,direct
هبط,land,Land,descend,Descend,descend,Land,land,Descend,descend
قاد,conduct,Drive,drive,Drive,drive,Drive,drive,Drive,drive
تكبّد,sustain,"To bear, to endure","To bear, to endure, to suffer",To bear,to bear,Suffer,suffer,To incur,suffer
سيفط,submit,Safta,He will fall.,To fall,To open,To eat,to open,To fall,To open
تكوّن,consist,To form,To form/constitute.,To form,To form,Form,form,Form,form
عصف,blow,Sweep,To sweep,Sweep,sweep,Sweep,sweep,Clean,sweep
رشد,guide,Guide,Grow,Guide,Grow,Grow,grow,Guide,grow
قنع,convince,Convince,Convince,convince,convince,Convince,convince,convince,convince
مارس,practice,"""مارس"" تُترجم إلى ""do"" في اللهجة الإنجليزية.",Exercise,Practice,practice,Do,practice,Exercise,practice
قوّا,strengthen,Strengthen,Strengthen,Strengthen,strengthen,Strength,strengthen,Strength,strengthen
دقّ,knock,Knock,knock,Knock,knock,knock,knock,Knock,knock
عرض,invite,"""عرض"" بالدارجة المغربية تُترجم إلى ""show"" في الإنجليزية.",Present,Present,present,Show,present,Show,present
تخلّا,abandon,To leave,To leave,To leave,Leave,Let go,leave,Leave,leave
جاوب,reply,Answer,Answer,Answer,Answer,Answer,answer,Answer,answer
حرّك,shake,Move,Move,Move,Move,Move,move,Move,move
صلح,fix,Fix,To fix/repair.,Repair,repair,Fix,repair,Fix,repair
تضاهر,pretend,Pretend,Pretend,Pretend,pretend,Pretend,pretend,Pretend,pretend
شاور,consult,Shawer.,Shower,Consult,consult,Consult,consult,Consult,consult
قسم,divide,Divide,divide,Divide,divide,divide,divide,divide,divide
نخارط,engage,"""Nkhar9"" translates to ""we negotiate"" in English.",We draw.,To chat,To map,Play,to argue,Play,to argue
حقّق,fulfill,Achieve,Achieve,Achieve,Achieve,Achieve,achieve,Achieve,achieve
حكم,rule,Rule,rule,Judge,judge,Judge,rule,Judge,rule
عالج,process,Treat,Treat,Treat,Treat,Treat,treat,Treat,treat
جاب,fetch,Bring,bring,Bring,bring,bring,bring,bring,bring
نقل,convey,Move,transfer,Move,to transfer,Move,transfer,Move,transfer
جسّد,incorporate,To embody,Embodied,Embody,embody,embody,embody,to embody,embody
حصر,restrict,List,to restrict; to limit; to confine,Limit,to restrict,List,restrict,List,restrict
ستبعد,eliminate,To remove,You will move away.,To remove,to remove,Remove,to remove,Leave,to remove
زوّل,eliminate,To download,To descend,Download,To descend,Travel,marry,Download,To shave
لغا,eliminate,To leave,To swim,To go,To swim,Study,swim,To go,swim
حوّل,convert,Convert,Convert,Convert,Convert,Convert,convert,Convert,convert
تقاعد,retire,Retire,Retire,Retire,retire,Retirement,retire,Retire,retire
ضبط,adjust,Adjust,To adjust/fix/arrange.,Adjust,Adjust,Adjust,control,Adjust,control
عدّل,adjust,Modify,Fix/adjust/modify.,Modify,to adjust,Modify,modify,Modify,modify
سهّل,ease,Facilitate,Facilitate,Facilitate,Facilitate,Facilitate,facilitate,Facilitate,facilitate
كبّ,pour,"""Kbb"" in Moroccan Arabic means ""to lie down"" in English.",Pouring,To sit.,Pour.,Cook,pour,Cook,cry
صبّ,pour,Pouring,Pour,Pour.,Pour,Pour verser,pour,Pour يصبّ,pour
نسج,knit,Weave,weave,Weave,weave,Weave,weave,Weave,weave
دعم,back,Support,Support,Support,Support,Support,support,Support,support
طراسا,trace,"""Tarasa"" doesn't have a direct translation in English, as it is a colloquial term in Moroccan Arabic. However, it can be loosely translated to ""to chill"" or ""to relax"" in English.",To dig,To search,To swim,To swim,swim,To swim,to search
سجّل,register,Register,Register,Register,register,Register,register,register,register
حسب,calculate,"""حسب"" تُترجم إلى ""according to"" في الإنجليزية.",Calculate,According to,Calculate,Based on,calculate,Based on,calculate
حفّز,stimulate,Motivate,Motivate,Motivate,Motivate,Motivate,motivate,Motivate,motivate
طبع,print,Print,Print,Print,Print,Print,print,Print,print
إمپريما,print,Imprima,"Imprima

(Print)",To emprima.,To emphasize,Empower,imprima,Empower,imperative
توتّر,stress,Stress,Stress,Tense,Tense,Stress,tense,Stress,tense
عيّن,appoint,Appoint,Appoint,Appoint,Appoint,Appoint,appoint,Appoint,appoint
تدخّل,interfere,Intervene,intervene,Intervene,Intervene,Intervene,intervene,Intervene,intervene
عتارض,object,Argue,argue,Contradict,Contradict,Oppose,contradict,Oppose,oppose
قوّا,boost,Strengthen.,Strength/empower.,Strengthen,strengthen,Strength,strengthen,Strength,strengthen
يسّر,facilitate,Facilitate,Facilitate,Facilitate,facilitate,Facilitate,facilitate,Facilitate,facilitate
سهّل,facilitate,Facilitate,Facilitate,Facilitate,Facilitate,Facilitate,facilitate,Facilitate,facilitate
حتاج,lack,I need,Need,Need,need,need,need,need,need
حبس,cease,Imprison,imprison,Imprison,Imprison,Lock up,imprison,imprison,imprison
نفّد,enforce,We ran out.,We ran out.,To run out,To exhaust,Run out,to exhaust,Run out,to exhaust
تأقلم,adapt,Adapt.,Adapt,Adapt,Adapt,Adapt,adapt,Adapt,adapt
عڭد,tie,Argued,To argue,Argue,to bite,Read,swim,to hold,swim
قتابس,quote,I quote,To quote,Quote,Quote,Quote,quote,Quote,to subscribe
سيطر,dominate,Control,Control,Control,Control,Control,control,Control,control
فرڭع,pop,"""Frnga"" translates to ""to argue"" in English.",To burp,To steal,To break.,Jump,burp,Jump,Jump
عجب,please,Like,like,Like,like,Like,like,Like,like
صمّم,design,Design,Design,Design,Design,Design,design,Design,design
تدخّل,intervene,Intervene,Intervene,Intervene,Intervene,Intervene,enter,Intervene,intervene
طلّع,yield,To go out,To go out,Go up,Go out,Go up,go up,Go out,go out
ستاقل,resign,"""Staql"" doesn't have a direct translation in English, but it can be roughly translated as ""to miss"" or ""to long for"" depending on the context.",To miss,To go down,To miss,Miss,miss,Travel,miss
تهجّا,spell,To argue,To memorize,To speak,to scream,Speak,pronounce,sing,to migrate
حرّك,stir,Move,Move,Move,Move,Move,move,Move,move
خصّص,spare,Dedicate,To specialize or to allocate.,To allocate,dedicate,Allocate,dedicate,Allocate,dedicate
قدّر,estimate,Appreciate,Appreciate / Value / Estimate / Assess,Appreciate,appreciate,Appreciate,estimate,Appreciate,estimate
ضرب,kick,Hit,hit,Hit,hit,Hit,hit,Hit,hit
ركل,kick,Kick,Kick,Kick,kick,Kick,kick,Kick,kick
عدّد,list,List,Count,Count,Count,Count,count,Count,count
لبس,dress,Wear,wear,Wear,wear,wear,wear,wear,wear
علن,declare,Announce,Declare,Announce,Declare,Declare,announce,announce,announce
ديكلارا,declare,Declare,Declare,Declare,Declare,Declare,declare,Declare,declare
أكّد,assure,Confirm,Confirm,Confirm,confirm,Confirm,confirm,Confirm,confirm
ستامدّ,derive,I will support,To support,To support,To support,Stand,to support,Support,to support
دخل,access,Enter,Enter,Enter,enter,Enter,enter,Enter,enter
أجّل,delay,Postpone,Postpone,Postpone,Postpone,Delay,delay,Postpone,delay
وضّح,clarify,Explain,Explain,Explain,Clarify,Explain,clarify,Explain,clarify
نقل,copy,Move,transfer,Move,move,Move,transfer,Move,transfer
نسخ,copy,Copy,Copy,Copy,Copy,Copy,copy,Copy,copy
فضّل,favor,Prefer,prefer,Prefer,prefer,prefer,prefer,prefer,prefer
مدّ,hand,Stretch,Extend/Stretch,Extend,Extend,Stretch,extend,Stretch,extend
قبط,capture,To grab,Steal,Steal,To grab,Steal,steal,Buy,steal
عزّز,reinforce,Strengthen,strengthen,Reinforce,strengthen,Boost,strengthen,Strengthen,strengthen
حوّل,transform,Convert,Convert,Convert,Convert,Convert,convert,Convert,convert
فهم,perceive,Understand,Understand,Understand,understand,Understand,understand,Understand,understand
خدم,function,Work,work,Work,work,Work,work,work,work
غادر,quit,Leave,To leave,Leave,to leave,Leave,leave,Leave,leave
رافق,accompany,Accompany,Accompany,Accompany,Accompany,Accompany,accompany,Accompany,accompany
موّل,fund,Fund,To finance,Fund,Fund,Fund,finance,Fund,finance
جمع,pack,Collect,Collect/ Gather,Gather,to collect,Collect,to collect,Collect,to collect
صحّح,correct,Correct,Correct,Correct,Correct,Correct,correct,Correct,correct
أبحر,sail,Sail,Sail,Sail,sail,Sail,sail,Sail,sail
عوّض,compensate,Replace,Replace,Replace,Replace,compensate,compensate,Replace,compensate
سرق,steal,Steal,steal,Steal,to steal,Steal,steal,Steal,steal
شفر,steal,Look,Unlock,See,Unlock,Watch,unlock,Watch,unlock
قوّض,undermine,Undermine,Undermine,Undermine,Undermine,Undermine,undermine,Undermine,undermine
متدّ,range,To stretch,To stretch,To stretch,Stretch,To wait,to stretch,Sit,stretch
عارض,oppose,Oppose,Oppose,Oppose,Oppose,Oppose,oppose,Oppose,oppose
حدّد,locate,Identify,Specify,Define,to specify,Identify,determine,Identify,determine
زرب,hurry,"""Zerbe""",To mix,To hit,To mix,Visit,to hit,Hit,hit
نشر,broadcast,Publish,To publish,To publish,publish,Post,publish,Post,publish
قاضا,sue,Judge,Judge,Judge,judge,Judge,judge,judge,judge
ميزا,bid,"""Miza"" translates to ""to distinguish"" in Moroccan Arabic.",Differentiate.,Differentiate,Differentiate,Differentiate,differentiate,Differentiate,differentiate
ضوّا,light,To light up,Illuminate,To light,Illuminate,Light,light,Light,light
تباطأ,slow,Slow down,To slow down,Slow down.,to slow down,Slow,delay,Slow down,delay
همّ,concern,They,They.,They.,Whisper,They swim.,whisper,Do,whisper
رفض,dismiss,Refuse,Refuse,Refuse,refuse,Refuse,refuse,Refuse,refuse
صلح,repair,Fix,To fix/repair.,Repair,Fix,Fix,repair,Fix,repair
طابق,conform,"""طابق"" translates to ""to floor"" in English.",Floor,To build,To match,Floor,to build,Floor,to build
ربط,attach,Connect,tie,Connect,Tie,Connect,tie,Connect,tie
زرّب,rush,"""Zerreb""",To hit or to beat,To visit,To visit,Visit,to visit,Visit,to visit
غرق,sink,Drown,drown,Drown,drown,Drown,drown,Drown,drown
نتازع,grab,We argue.,We argue.,Argue,argue,Argue,argue,Argue,argue
كالما,calm,Kalmah,Speak,Speak,Speak,Speak,speak,Speak,speak
حتجّ,protest,I will go.,You will need,To need,Need,Need,need,Need,need
وازن,balance,Balance,Balance,Balance,Weigh,Balance,balance,Balance,balance
طلب,beg,Ask,asked,Ask,ask,ask,ask,Ask,ask
تبّت,install,To fix.,To repent,To fix,Establish,Establish,establish,Install,repent
طوّر,advance,Develop,Develop,Develop,Develop,Develop,develop,Develop,develop
طرد,fire,To kick out,To expel/evict/kick out.,To kick out,to expel,Kick,expel,Kick,expel
عاون,aid,Help,Help,Help,Help,Help,help,Help,help
تدفّق,flow,Flow,Flow,Flow,Flow,Flow,flow,Flow,flow
جرّ,drag,To drag,Pull,Drag,drag,Run,drag,Run,drag
تطابق,correspond,Match,match,Match,match,Match,match,Match,match
شكّل,pose,Shape,To form/shape/constitute.,Form,To form,Form,shape,Form,shape
تعجب,admire,Be surprised,To surprise,To be surprised.,wonder,Like,wonder,Like,wonder
خفّف,relieve,Lighten,Lighten,Lighten,To lighten,Lighten,lighten,Reduce,lighten
دابز,combat,Dabz,To jump,To walk,To jump,Dance,to paint,Dance,Jump
ندامج,integrate,We mix.,We mix.,To mix,To mix,Regret,merge,Merge,to mix
ماتّافقش,disagree,I don't agree.,Do not agree.,Not agree.,disagree,Disagree,not agree,Disagree,agree
اتصل,connect,Call,Call,Call,to call,Call,call,Call,call
حيّن,update,To live,To decorate,To live,Call,Prepare,prepare,Prepare,prepare
